Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org41,1,C12,C12,5-Fluouracil,0.1,uM,Sample,21182,C,12
Org41,1,J12,J12,5-Fluouracil,0.1,uM,Sample,21894,J,12
Org41,1,C11,C11,5-Fluouracil,0.2,uM,Sample,22495,C,11
Org41,1,J11,J11,5-Fluouracil,0.2,uM,Sample,21727,J,11
Org41,1,C10,C10,5-Fluouracil,0.5,uM,Sample,18780,C,10
Org41,1,J10,J10,5-Fluouracil,0.5,uM,Sample,19444,J,10
Org41,1,C9,C09,5-Fluouracil,0.75,uM,Sample,18102,C,9
Org41,1,J9,J09,5-Fluouracil,0.75,uM,Sample,19052,J,9
Org41,1,C8,C08,5-Fluouracil,1,uM,Sample,17909,C,8
Org41,1,J8,J08,5-Fluouracil,1,uM,Sample,18738,J,8
Org41,1,C7,C07,5-Fluouracil,2,uM,Sample,16683,C,7
Org41,1,J7,J07,5-Fluouracil,2,uM,Sample,17653,J,7
Org41,1,C6,C06,5-Fluouracil,5,uM,Sample,17930,C,6
Org41,1,J6,J06,5-Fluouracil,5,uM,Sample,18964,J,6
Org41,1,C5,C05,5-Fluouracil,7.5,uM,Sample,17671,C,5
Org41,1,J5,J05,5-Fluouracil,7.5,uM,Sample,19976,J,5
Org41,1,C4,C04,5-Fluouracil,10,uM,Sample,16915,C,4
Org41,1,J4,J04,5-Fluouracil,10,uM,Sample,19094,J,4
Org41,1,C3,C03,5-Fluouracil,20,uM,Sample,14217,C,3
Org41,1,J3,J03,5-Fluouracil,20,uM,Sample,16290,J,3
Org41,1,B23,B23,Carboplatin,0.1,uM,Sample,22235,B,23
Org41,1,I23,I23,Carboplatin,0.1,uM,Sample,21290,I,23
Org41,1,B22,B22,Carboplatin,0.2,uM,Sample,20006,B,22
Org41,1,I22,I22,Carboplatin,0.2,uM,Sample,19368,I,22
Org41,1,B21,B21,Carboplatin,0.5,uM,Sample,21110,B,21
Org41,1,I21,I21,Carboplatin,0.5,uM,Sample,18687,I,21
Org41,1,B20,B20,Carboplatin,0.75,uM,Sample,18662,B,20
Org41,1,I20,I20,Carboplatin,0.75,uM,Sample,18646,I,20
Org41,1,B19,B19,Carboplatin,1,uM,Sample,20199,B,19
Org41,1,I19,I19,Carboplatin,1,uM,Sample,18575,I,19
Org41,1,B18,B18,Carboplatin,2,uM,Sample,19694,B,18
Org41,1,I18,I18,Carboplatin,2,uM,Sample,20393,I,18
Org41,1,B17,B17,Carboplatin,5,uM,Sample,17930,B,17
Org41,1,I17,I17,Carboplatin,5,uM,Sample,16865,I,17
Org41,1,B16,B16,Carboplatin,7.5,uM,Sample,17510,B,16
Org41,1,I16,I16,Carboplatin,7.5,uM,Sample,16412,I,16
Org41,1,B15,B15,Carboplatin,10,uM,Sample,17728,B,15
Org41,1,I15,I15,Carboplatin,10,uM,Sample,17274,I,15
Org41,1,B14,B14,Carboplatin,20,uM,Sample,16761,B,14
Org41,1,I14,I14,Carboplatin,20,uM,Sample,16316,I,14
Org41,1,H23,H23,Cetuximab,0.01,uM,Sample,23368,H,23
Org41,1,O23,O23,Cetuximab,0.01,uM,Sample,17794,O,23
Org41,1,H22,H22,Cetuximab,0.02,uM,Sample,21653,H,22
Org41,1,O22,O22,Cetuximab,0.02,uM,Sample,15294,O,22
Org41,1,H21,H21,Cetuximab,0.05,uM,Sample,16041,H,21
Org41,1,O21,O21,Cetuximab,0.05,uM,Sample,14450,O,21
Org41,1,H20,H20,Cetuximab,0.1,uM,Sample,15591,H,20
Org41,1,O20,O20,Cetuximab,0.1,uM,Sample,14278,O,20
Org41,1,H19,H19,Cetuximab,0.2,uM,Sample,15280,H,19
Org41,1,O19,O19,Cetuximab,0.2,uM,Sample,15081,O,19
Org41,1,H18,H18,Cetuximab,0.5,uM,Sample,14296,H,18
Org41,1,O18,O18,Cetuximab,0.5,uM,Sample,12102,O,18
Org41,1,H17,H17,Cetuximab,0.75,uM,Sample,14773,H,17
Org41,1,O17,O17,Cetuximab,0.75,uM,Sample,12467,O,17
Org41,1,H16,H16,Cetuximab,1,uM,Sample,13161,H,16
Org41,1,O16,O16,Cetuximab,1,uM,Sample,11804,O,16
Org41,1,H15,H15,Cetuximab,2,uM,Sample,6644,H,15
Org41,1,O15,O15,Cetuximab,2,uM,Sample,8133,O,15
Org41,1,H14,H14,Cetuximab,5,uM,Sample,306,H,14
Org41,1,O14,O14,Cetuximab,5,uM,Sample,177,O,14
Org41,1,D23,D23,Cisplatin,0.1,uM,Sample,20339,D,23
Org41,1,K23,K23,Cisplatin,0.1,uM,Sample,22749,K,23
Org41,1,D22,D22,Cisplatin,0.2,uM,Sample,20434,D,22
Org41,1,K22,K22,Cisplatin,0.2,uM,Sample,20503,K,22
Org41,1,D21,D21,Cisplatin,0.5,uM,Sample,16900,D,21
Org41,1,K21,K21,Cisplatin,0.5,uM,Sample,19092,K,21
Org41,1,D20,D20,Cisplatin,0.75,uM,Sample,15657,D,20
Org41,1,K20,K20,Cisplatin,0.75,uM,Sample,18548,K,20
Org41,1,D19,D19,Cisplatin,1,uM,Sample,16160,D,19
Org41,1,K19,K19,Cisplatin,1,uM,Sample,18594,K,19
Org41,1,D18,D18,Cisplatin,2,uM,Sample,15854,D,18
Org41,1,K18,K18,Cisplatin,2,uM,Sample,18166,K,18
Org41,1,D17,D17,Cisplatin,5,uM,Sample,16604,D,17
Org41,1,K17,K17,Cisplatin,5,uM,Sample,18990,K,17
Org41,1,D16,D16,Cisplatin,7.5,uM,Sample,15010,D,16
Org41,1,K16,K16,Cisplatin,7.5,uM,Sample,17802,K,16
Org41,1,D15,D15,Cisplatin,10,uM,Sample,13488,D,15
Org41,1,K15,K15,Cisplatin,10,uM,Sample,16359,K,15
Org41,1,D14,D14,Cisplatin,20,uM,Sample,9700,D,14
Org41,1,K14,K14,Cisplatin,20,uM,Sample,12187,K,14
Org41,1,D2,D02,DMSO,0,uM,negative_control,20025,D,2
Org41,1,D13,D13,DMSO,0,uM,negative_control,17864,D,13
Org41,1,G2,G02,DMSO,0,uM,negative_control,22523,G,2
Org41,1,G13,G13,DMSO,0,uM,negative_control,19147,G,13
Org41,1,J2,J02,DMSO,0,uM,negative_control,21660,J,2
Org41,1,J13,J13,DMSO,0,uM,negative_control,18694,J,13
Org41,1,M2,M02,DMSO,0,uM,negative_control,22195,M,2
Org41,1,M13,M13,DMSO,0,uM,negative_control,17437,M,13
Org41,1,C23,C23,Docetaxel,0.1,uM,Sample,6697,C,23
Org41,1,J23,J23,Docetaxel,0.1,uM,Sample,7821,J,23
Org41,1,C22,C22,Docetaxel,0.2,uM,Sample,7004,C,22
Org41,1,J22,J22,Docetaxel,0.2,uM,Sample,7758,J,22
Org41,1,C21,C21,Docetaxel,0.5,uM,Sample,7475,C,21
Org41,1,J21,J21,Docetaxel,0.5,uM,Sample,7578,J,21
Org41,1,C20,C20,Docetaxel,0.75,uM,Sample,7615,C,20
Org41,1,J20,J20,Docetaxel,0.75,uM,Sample,8459,J,20
Org41,1,C19,C19,Docetaxel,1,uM,Sample,6557,C,19
Org41,1,J19,J19,Docetaxel,1,uM,Sample,8837,J,19
Org41,1,C18,C18,Docetaxel,2,uM,Sample,7891,C,18
Org41,1,J18,J18,Docetaxel,2,uM,Sample,8605,J,18
Org41,1,C17,C17,Docetaxel,5,uM,Sample,8548,C,17
Org41,1,J17,J17,Docetaxel,5,uM,Sample,8535,J,17
Org41,1,C16,C16,Docetaxel,7.5,uM,Sample,8439,C,16
Org41,1,J16,J16,Docetaxel,7.5,uM,Sample,9564,J,16
Org41,1,C15,C15,Docetaxel,10,uM,Sample,8165,C,15
Org41,1,J15,J15,Docetaxel,10,uM,Sample,10093,J,15
Org41,1,C14,C14,Docetaxel,20,uM,Sample,9101,C,14
Org41,1,J14,J14,Docetaxel,20,uM,Sample,11525,J,14
Org41,1,G12,G12,Doxorubicin,0.1,uM,Sample,17301,G,12
Org41,1,N12,N12,Doxorubicin,0.1,uM,Sample,17083,N,12
Org41,1,G11,G11,Doxorubicin,0.2,uM,Sample,14755,G,11
Org41,1,N11,N11,Doxorubicin,0.2,uM,Sample,15008,N,11
Org41,1,G10,G10,Doxorubicin,0.5,uM,Sample,11598,G,10
Org41,1,N10,N10,Doxorubicin,0.5,uM,Sample,12164,N,10
Org41,1,G9,G09,Doxorubicin,0.75,uM,Sample,10969,G,9
Org41,1,N9,N09,Doxorubicin,0.75,uM,Sample,12423,N,9
Org41,1,G8,G08,Doxorubicin,1,uM,Sample,11048,G,8
Org41,1,N8,N08,Doxorubicin,1,uM,Sample,10938,N,8
Org41,1,G7,G07,Doxorubicin,2,uM,Sample,9178,G,7
Org41,1,N7,N07,Doxorubicin,2,uM,Sample,9768,N,7
Org41,1,G6,G06,Doxorubicin,5,uM,positive_control,1793,G,6
Org41,1,N6,N06,Doxorubicin,5,uM,positive_control,3050,N,6
Org41,1,G5,G05,Doxorubicin,7.5,uM,positive_control,704,G,5
Org41,1,N5,N05,Doxorubicin,7.5,uM,positive_control,785,N,5
Org41,1,G4,G04,Doxorubicin,10,uM,positive_control,954,G,4
Org41,1,N4,N04,Doxorubicin,10,uM,positive_control,787,N,4
Org41,1,G3,G03,Doxorubicin,20,uM,positive_control,2072,G,3
Org41,1,N3,N03,Doxorubicin,20,uM,positive_control,2237,N,3
Org41,1,H12,H12,Gemcitabine,0.1,uM,Sample,6513,H,12
Org41,1,O12,O12,Gemcitabine,0.1,uM,Sample,5456,O,12
Org41,1,H11,H11,Gemcitabine,0.2,uM,Sample,5673,H,11
Org41,1,O11,O11,Gemcitabine,0.2,uM,Sample,5456,O,11
Org41,1,H10,H10,Gemcitabine,0.5,uM,Sample,6252,H,10
Org41,1,O10,O10,Gemcitabine,0.5,uM,Sample,6337,O,10
Org41,1,H9,H09,Gemcitabine,0.75,uM,Sample,6495,H,9
Org41,1,O9,O09,Gemcitabine,0.75,uM,Sample,5798,O,9
Org41,1,H8,H08,Gemcitabine,1,uM,Sample,6892,H,8
Org41,1,O8,O08,Gemcitabine,1,uM,Sample,6607,O,8
Org41,1,H7,H07,Gemcitabine,2,uM,Sample,7068,H,7
Org41,1,O7,O07,Gemcitabine,2,uM,Sample,7614,O,7
Org41,1,H6,H06,Gemcitabine,5,uM,Sample,5661,H,6
Org41,1,O6,O06,Gemcitabine,5,uM,Sample,6385,O,6
Org41,1,H5,H05,Gemcitabine,7.5,uM,Sample,5104,H,5
Org41,1,O5,O05,Gemcitabine,7.5,uM,Sample,5257,O,5
Org41,1,H4,H04,Gemcitabine,10,uM,Sample,4929,H,4
Org41,1,O4,O04,Gemcitabine,10,uM,Sample,4250,O,4
Org41,1,H3,H03,Gemcitabine,20,uM,Sample,3499,H,3
Org41,1,O3,O03,Gemcitabine,20,uM,Sample,3521,O,3
Org41,1,E12,E12,Irinotecan,0.1,uM,Sample,18672,E,12
Org41,1,L12,L12,Irinotecan,0.1,uM,Sample,20828,L,12
Org41,1,E11,E11,Irinotecan,0.2,uM,Sample,19303,E,11
Org41,1,L11,L11,Irinotecan,0.2,uM,Sample,19867,L,11
Org41,1,E10,E10,Irinotecan,0.5,uM,Sample,19509,E,10
Org41,1,L10,L10,Irinotecan,0.5,uM,Sample,20200,L,10
Org41,1,E9,E09,Irinotecan,0.75,uM,Sample,18123,E,9
Org41,1,L9,L09,Irinotecan,0.75,uM,Sample,20290,L,9
Org41,1,E8,E08,Irinotecan,1,uM,Sample,15137,E,8
Org41,1,L8,L08,Irinotecan,1,uM,Sample,17526,L,8
Org41,1,E7,E07,Irinotecan,2,uM,Sample,11572,E,7
Org41,1,L7,L07,Irinotecan,2,uM,Sample,12742,L,7
Org41,1,E6,E06,Irinotecan,5,uM,Sample,9975,E,6
Org41,1,L6,L06,Irinotecan,5,uM,Sample,10880,L,6
Org41,1,E5,E05,Irinotecan,7.5,uM,Sample,9027,E,5
Org41,1,L5,L05,Irinotecan,7.5,uM,Sample,9861,L,5
Org41,1,E4,E04,Irinotecan,10,uM,Sample,8112,E,4
Org41,1,L4,L04,Irinotecan,10,uM,Sample,8509,L,4
Org41,1,E3,E03,Irinotecan,20,uM,Sample,6609,E,3
Org41,1,L3,L03,Irinotecan,20,uM,Sample,6513,L,3
Org41,1,D12,D12,Leucovorin,0.1,uM,Sample,18640,D,12
Org41,1,K12,K12,Leucovorin,0.1,uM,Sample,20316,K,12
Org41,1,D11,D11,Leucovorin,0.2,uM,Sample,19825,D,11
Org41,1,K11,K11,Leucovorin,0.2,uM,Sample,19714,K,11
Org41,1,D10,D10,Leucovorin,0.5,uM,Sample,19725,D,10
Org41,1,K10,K10,Leucovorin,0.5,uM,Sample,19616,K,10
Org41,1,D9,D09,Leucovorin,0.75,uM,Sample,18268,D,9
Org41,1,K9,K09,Leucovorin,0.75,uM,Sample,19532,K,9
Org41,1,D8,D08,Leucovorin,1,uM,Sample,18615,D,8
Org41,1,K8,K08,Leucovorin,1,uM,Sample,20794,K,8
Org41,1,D7,D07,Leucovorin,2,uM,Sample,17968,D,7
Org41,1,K7,K07,Leucovorin,2,uM,Sample,19849,K,7
Org41,1,D6,D06,Leucovorin,5,uM,Sample,17051,D,6
Org41,1,K6,K06,Leucovorin,5,uM,Sample,21017,K,6
Org41,1,D5,D05,Leucovorin,7.5,uM,Sample,17371,D,5
Org41,1,K5,K05,Leucovorin,7.5,uM,Sample,20258,K,5
Org41,1,D4,D04,Leucovorin,10,uM,Sample,17414,D,4
Org41,1,K4,K04,Leucovorin,10,uM,Sample,20445,K,4
Org41,1,D3,D03,Leucovorin,20,uM,Sample,17146,D,3
Org41,1,K3,K03,Leucovorin,20,uM,Sample,20393,K,3
Org41,1,B2,B02,Media,0,uM,negative_control,20911,B,2
Org41,1,B13,B13,Media,0,uM,negative_control,20544,B,13
Org41,1,E2,E02,Media,0,uM,negative_control,23149,E,2
Org41,1,E13,E13,Media,0,uM,negative_control,18431,E,13
Org41,1,H2,H02,Media,0,uM,negative_control,21043,H,2
Org41,1,H13,H13,Media,0,uM,negative_control,18082,H,13
Org41,1,K2,K02,Media,0,uM,negative_control,23317,K,2
Org41,1,K13,K13,Media,0,uM,negative_control,19117,K,13
Org41,1,N2,N02,Media,0,uM,negative_control,21122,N,2
Org41,1,N13,N13,Media,0,uM,negative_control,19818,N,13
Org41,1,O2,O2,Media,0,uM,negative_control,22101,O,2
Org41,1,O13,O13,Media,0,uM,negative_control,18412,O,13
Org41,1,G23,G23,Mitomycin C,0.1,uM,Sample,18044,G,23
Org41,1,N23,N23,Mitomycin C,0.1,uM,Sample,18493,N,23
Org41,1,G22,G22,Mitomycin C,0.2,uM,Sample,13508,G,22
Org41,1,N22,N22,Mitomycin C,0.2,uM,Sample,14515,N,22
Org41,1,G21,G21,Mitomycin C,0.5,uM,Sample,9678,G,21
Org41,1,N21,N21,Mitomycin C,0.5,uM,Sample,10979,N,21
Org41,1,G20,G20,Mitomycin C,0.75,uM,Sample,8527,G,20
Org41,1,N20,N20,Mitomycin C,0.75,uM,Sample,11431,N,20
Org41,1,G19,G19,Mitomycin C,1,uM,Sample,8505,G,19
Org41,1,N19,N19,Mitomycin C,1,uM,Sample,9620,N,19
Org41,1,G18,G18,Mitomycin C,2,uM,positive_control,5521,G,18
Org41,1,N18,N18,Mitomycin C,2,uM,positive_control,5508,N,18
Org41,1,G17,G17,Mitomycin C,5,uM,positive_control,1355,G,17
Org41,1,N17,N17,Mitomycin C,5,uM,positive_control,1528,N,17
Org41,1,G16,G16,Mitomycin C,7.5,uM,positive_control,520,G,16
Org41,1,N16,N16,Mitomycin C,7.5,uM,positive_control,619,N,16
Org41,1,G15,G15,Mitomycin C,10,uM,positive_control,307,G,15
Org41,1,N15,N15,Mitomycin C,10,uM,positive_control,438,N,15
Org41,1,G14,G14,Mitomycin C,20,uM,positive_control,502,G,14
Org41,1,N14,N14,Mitomycin C,20,uM,positive_control,498,N,14
Org41,1,F12,F12,Oxaliplatin,0.1,uM,Sample,18885,F,12
Org41,1,M12,M12,Oxaliplatin,0.1,uM,Sample,19414,M,12
Org41,1,F11,F11,Oxaliplatin,0.2,uM,Sample,19747,F,11
Org41,1,M11,M11,Oxaliplatin,0.2,uM,Sample,19966,M,11
Org41,1,F10,F10,Oxaliplatin,0.5,uM,Sample,19845,F,10
Org41,1,M10,M10,Oxaliplatin,0.5,uM,Sample,19986,M,10
Org41,1,F9,F09,Oxaliplatin,0.75,uM,Sample,19088,F,9
Org41,1,M9,M09,Oxaliplatin,0.75,uM,Sample,19566,M,9
Org41,1,F8,F08,Oxaliplatin,1,uM,Sample,24192,F,8
Org41,1,M8,M08,Oxaliplatin,1,uM,Sample,18713,M,8
Org41,1,F7,F07,Oxaliplatin,2,uM,Sample,17911,F,7
Org41,1,M7,M07,Oxaliplatin,2,uM,Sample,18558,M,7
Org41,1,F6,F06,Oxaliplatin,5,uM,Sample,16949,F,6
Org41,1,M6,M06,Oxaliplatin,5,uM,Sample,17881,M,6
Org41,1,F5,F05,Oxaliplatin,7.5,uM,Sample,14824,F,5
Org41,1,M5,M05,Oxaliplatin,7.5,uM,Sample,17233,M,5
Org41,1,F4,F04,Oxaliplatin,10,uM,Sample,15240,F,4
Org41,1,M4,M04,Oxaliplatin,10,uM,Sample,17720,M,4
