Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org61,2,B2,B02,Media,0,uM,negative_control,2630,B,2
Org61,2,B3,B03,Staurosporine,20,uM,positive_control,28,B,3
Org61,2,B4,B04,Staurosporine,10,uM,positive_control,32,B,4
Org61,2,B5,B05,Staurosporine,7.5,uM,positive_control,76,B,5
Org61,2,B6,B06,Staurosporine,5,uM,positive_control,177,B,6
Org61,2,B7,B07,Staurosporine,2,uM,positive_control,207,B,7
Org61,2,B8,B08,Staurosporine,1,uM,positive_control,386,B,8
Org61,2,B9,B09,Staurosporine,0.75,uM,positive_control,359,B,9
Org61,2,B10,B10,Staurosporine,0.5,uM,positive_control,773,B,10
Org61,2,B11,B11,Staurosporine,0.2,uM,positive_control,1065,B,11
Org61,2,B12,B12,Staurosporine,0.1,uM,positive_control,1289,B,12
Org61,2,B13,B13,Media,0,uM,negative_control,1367,B,13
Org61,2,B14,B14,Carboplatin,20,uM,Sample,1204,B,14
Org61,2,B15,B15,Carboplatin,10,uM,Sample,1321,B,15
Org61,2,B16,B16,Carboplatin,7.5,uM,Sample,1749,B,16
Org61,2,B17,B17,Carboplatin,5,uM,Sample,1539,B,17
Org61,2,B18,B18,Carboplatin,2,uM,Sample,1823,B,18
Org61,2,B19,B19,Carboplatin,1,uM,Sample,1418,B,19
Org61,2,B20,B20,Carboplatin,0.75,uM,Sample,1429,B,20
Org61,2,B21,B21,Carboplatin,0.5,uM,Sample,1690,B,21
Org61,2,B22,B22,Carboplatin,0.2,uM,Sample,1518,B,22
Org61,2,B23,B23,Carboplatin,0.1,uM,Sample,1213,B,23
Org61,2,C2,C02,TritonX,0,uM,negative_control,2198,C,2
Org61,2,C3,C03,5-Fluouracil,20,uM,Sample,1242,C,3
Org61,2,C4,C04,5-Fluouracil,10,uM,Sample,1343,C,4
Org61,2,C5,C05,5-Fluouracil,7.5,uM,Sample,1700,C,5
Org61,2,C6,C06,5-Fluouracil,5,uM,Sample,1929,C,6
Org61,2,C7,C07,5-Fluouracil,2,uM,Sample,2412,C,7
Org61,2,C8,C08,5-Fluouracil,1,uM,Sample,1441,C,8
Org61,2,C9,C09,5-Fluouracil,0.75,uM,Sample,2244,C,9
Org61,2,C10,C10,5-Fluouracil,0.5,uM,Sample,2180,C,10
Org61,2,C11,C11,5-Fluouracil,0.2,uM,Sample,2090,C,11
Org61,2,C12,C12,5-Fluouracil,0.1,uM,Sample,1747,C,12
Org61,2,C13,C13,TritonX,0,uM,negative_control,1272,C,13
Org61,2,C14,C14,Docetaxel,20,uM,Sample,1493,C,14
Org61,2,C15,C15,Docetaxel,10,uM,Sample,1815,C,15
Org61,2,C16,C16,Docetaxel,7.5,uM,Sample,1995,C,16
Org61,2,C17,C17,Docetaxel,5,uM,Sample,1452,C,17
Org61,2,C18,C18,Docetaxel,2,uM,Sample,1604,C,18
Org61,2,C19,C19,Docetaxel,1,uM,Sample,1638,C,19
Org61,2,C20,C20,Docetaxel,0.75,uM,Sample,1376,C,20
Org61,2,C21,C21,Docetaxel,0.5,uM,Sample,1943,C,21
Org61,2,C22,C22,Docetaxel,0.2,uM,Sample,1759,C,22
Org61,2,C23,C23,Docetaxel,0.1,uM,Sample,1090,C,23
Org61,2,D2,D02,DMSO,0,uM,negative_control,2006,D,2
Org61,2,D3,D03,Leucovorin,20,uM,Sample,1830,D,3
Org61,2,D4,D04,Leucovorin,10,uM,Sample,1888,D,4
Org61,2,D5,D05,Leucovorin,7.5,uM,Sample,2220,D,5
Org61,2,D6,D06,Leucovorin,5,uM,Sample,2538,D,6
Org61,2,D7,D07,Leucovorin,2,uM,Sample,1877,D,7
Org61,2,D8,D08,Leucovorin,1,uM,Sample,1348,D,8
Org61,2,D9,D09,Leucovorin,0.75,uM,Sample,1972,D,9
Org61,2,D10,D10,Leucovorin,0.5,uM,Sample,2247,D,10
Org61,2,D11,D11,Leucovorin,0.2,uM,Sample,1848,D,11
Org61,2,D12,D12,Leucovorin,0.1,uM,Sample,1619,D,12
Org61,2,D13,D13,DMSO,0,uM,negative_control,1743,D,13
Org61,2,D14,D14,Cisplatin,20,uM,Sample,1192,D,14
Org61,2,D15,D15,Cisplatin,10,uM,Sample,2011,D,15
Org61,2,D16,D16,Cisplatin,7.5,uM,Sample,2354,D,16
Org61,2,D17,D17,Cisplatin,5,uM,Sample,2003,D,17
Org61,2,D18,D18,Cisplatin,2,uM,Sample,1830,D,18
Org61,2,D19,D19,Cisplatin,1,uM,Sample,1382,D,19
Org61,2,D20,D20,Cisplatin,0.75,uM,Sample,2181,D,20
Org61,2,D21,D21,Cisplatin,0.5,uM,Sample,1386,D,21
Org61,2,D22,D22,Cisplatin,0.2,uM,Sample,1897,D,22
Org61,2,D23,D23,Cisplatin,0.1,uM,Sample,1362,D,23
Org61,2,E2,E02,Media,0,uM,negative_control,1829,E,2
Org61,2,E3,E03,Irinotecan,20,uM,Sample,1423,E,3
Org61,2,E4,E04,Irinotecan,10,uM,Sample,1530,E,4
Org61,2,E5,E05,Irinotecan,7.5,uM,Sample,1521,E,5
Org61,2,E6,E06,Irinotecan,5,uM,Sample,1485,E,6
