Org,Experiment,Side,Well_ID,Row,Col,CTG,Compound_ID,Concentration,Units,Description,CTG_Norm
Org38,2,left,B3,B,3,276,Staurosporine,20,uM,ctrl,0.020801146
Org38,2,left,B4,B,4,748,Staurosporine,10,uM,ctrl,0.056374119
Org38,2,left,B5,B,5,785,Staurosporine,7.5,uM,ctrl,0.059162679
Org38,2,left,B6,B,6,797,Staurosporine,5,uM,ctrl,0.060067076
Org38,2,left,B7,B,7,856,Staurosporine,2,uM,ctrl,0.064513698
Org38,2,left,B8,B,8,815,Staurosporine,1,uM,ctrl,0.061423673
Org38,2,left,B9,B,9,710,Staurosporine,0.75,uM,ctrl,0.053510193
Org38,2,left,B10,B,10,309,Staurosporine,0.5,uM,ctrl,0.023288239
Org38,2,left,B11,B,11,858,Staurosporine,0.2,uM,ctrl,0.064664431
Org38,2,left,B12,B,12,3409,Staurosporine,0.1,uM,ctrl,0.256924294
Org38,2,right,B14,B,14,10750,Carboplatin,20,uM,ctrl,1.06021007
Org38,2,right,B15,B,15,12000,Carboplatin,10,uM,ctrl,1.18349031
Org38,2,right,B16,B,16,14043,Carboplatin,7.5,uM,ctrl,1.384979535
Org38,2,right,B17,B,17,12524,Carboplatin,5,uM,ctrl,1.235169387
Org38,2,right,B18,B,18,12915,Carboplatin,2,uM,ctrl,1.273731446
Org38,2,right,B19,B,19,14634,Carboplatin,1,uM,ctrl,1.443266433
Org38,2,right,B20,B,20,14221,Carboplatin,0.75,uM,ctrl,1.402534642
Org38,2,right,B21,B,21,13990,Carboplatin,0.5,uM,ctrl,1.379752453
Org38,2,right,B22,B,22,14687,Carboplatin,0.2,uM,ctrl,1.448493515
Org38,2,right,B23,B,23,17854,Carboplatin,0.1,uM,ctrl,1.760836333
Org38,2,left,C2,C,2,10946,DMSO,0,uM,ctrl,0.824961375
Org38,2,left,C3,C,3,15102,5-Fluouracil,20,uM,Sample,1.138184422
Org38,2,left,C4,C,4,16562,5-Fluouracil,10,uM,Sample,1.248219467
Org38,2,left,C5,C,5,16158,5-Fluouracil,7.5,uM,Sample,1.217771413
Org38,2,left,C6,C,6,13861,5-Fluouracil,5,uM,Sample,1.044654633
Org38,2,left,C7,C,7,14114,5-Fluouracil,2,uM,Sample,1.06372235
Org38,2,left,C8,C,8,14619,5-Fluouracil,1,uM,Sample,1.101782417
Org38,2,left,C9,C,9,14975,5-Fluouracil,0.75,uM,Sample,1.12861288
Org38,2,left,C10,C,10,15168,5-Fluouracil,0.5,uM,Sample,1.143158609
Org38,2,left,C11,C,11,15240,5-Fluouracil,0.2,uM,Sample,1.148584995
Org38,2,left,C12,C,12,14454,5-Fluouracil,0.1,uM,Sample,1.08934695
Org38,2,right,C13,C,13,9442,DMSO,0,uM,ctrl,0.931209626
Org38,2,right,C14,C,14,10582,Docetaxel,20,uM,Sample,1.043641205
Org38,2,right,C15,C,15,10361,Docetaxel,10,uM,Sample,1.021845259
Org38,2,right,C16,C,16,9988,Docetaxel,7.5,uM,Sample,0.985058435
Org38,2,right,C17,C,17,10068,Docetaxel,5,uM,Sample,0.99294837
Org38,2,right,C18,C,18,9338,Docetaxel,2,uM,Sample,0.92095271
Org38,2,right,C19,C,19,8558,Docetaxel,1,uM,Sample,0.84402584
Org38,2,right,C20,C,20,8700,Docetaxel,0.75,uM,Sample,0.858030475
Org38,2,right,C21,C,21,8014,Docetaxel,0.5,uM,Sample,0.790374279
Org38,2,right,C22,C,22,9041,Docetaxel,0.2,uM,Sample,0.891661325
Org38,2,right,C23,C,23,8444,Docetaxel,0.1,uM,Sample,0.832782682
Org38,2,left,D2,D,2,15171,DMSO,0,uM,ctrl,1.143384708
Org38,2,left,D3,D,3,15179,Leucovorin,20,uM,Sample,1.14398764
Org38,2,left,D4,D,4,14918,Leucovorin,10,uM,Sample,1.124316991
Org38,2,left,D5,D,5,14212,Leucovorin,7.5,uM,Sample,1.071108264
Org38,2,left,D6,D,6,13659,Leucovorin,5,uM,Sample,1.029430606
Org38,2,left,D7,D,7,13976,Leucovorin,2,uM,Sample,1.053321777
Org38,2,left,D8,D,8,14977,Leucovorin,1,uM,Sample,1.128763613
Org38,2,left,D9,D,9,13385,Leucovorin,0.75,uM,Sample,1.008780194
Org38,2,left,D10,D,10,14864,Leucovorin,0.5,uM,Sample,1.120247202
Org38,2,left,D11,D,11,13346,Leucovorin,0.2,uM,Sample,1.005840901
Org38,2,left,D12,D,12,13071,Leucovorin,0.1,uM,Sample,0.985115122
Org38,2,right,D13,D,13,11534,DMSO,0,uM,ctrl,1.137531436
Org38,2,right,D14,D,14,1045,Cisplatin,20,uM,Sample,0.103062281
Org38,2,right,D15,D,15,4230,Cisplatin,10,uM,Sample,0.417180334
Org38,2,right,D16,D,16,5587,Cisplatin,7.5,uM,Sample,0.551013364
Org38,2,right,D17,D,17,8009,Cisplatin,5,uM,Sample,0.789881158
Org38,2,right,D18,D,18,9305,Cisplatin,2,uM,Sample,0.917698111
Org38,2,right,D19,D,19,10382,Cisplatin,1,uM,Sample,1.023916367
Org38,2,right,D20,D,20,10765,Cisplatin,0.75,uM,Sample,1.061689432
Org38,2,right,D21,D,21,11642,Cisplatin,0.5,uM,Sample,1.148182849
Org38,2,right,D22,D,22,14003,Cisplatin,0.2,uM,Sample,1.381034568
Org38,2,right,D23,D,23,17882,Cisplatin,0.1,uM,Sample,1.763597811
Org38,2,left,E2,E,2,13948,Media,0,uM,ctrl,1.051211516
Org38,2,left,E3,E,3,11383,Irinotecan,20,uM,Sample,0.857896522
Org38,2,left,E4,E,4,12606,Irinotecan,10,uM,Sample,0.950069714
Org38,2,left,E5,E,5,12908,Irinotecan,7.5,uM,Sample,0.972830388
Org38,2,left,E6,E,6,13981,Irinotecan,5,uM,Sample,1.053698609
Org38,2,left,E7,E,7,12736,Irinotecan,2,uM,Sample,0.959867355
Org38,2,left,E8,E,8,14779,Irinotecan,1,uM,Sample,1.113841052
Org38,2,left,E9,E,9,15360,Irinotecan,0.75,uM,Sample,1.157628971
Org38,2,left,E10,E,10,15213,Irinotecan,0.5,uM,Sample,1.1465501
Org38,2,left,E11,E,11,13618,Irinotecan,0.2,uM,Sample,1.026340581
Org38,2,left,E12,E,12,13553,Irinotecan,0.1,uM,Sample,1.021441761
Org38,2,right,E13,E,13,12068,Media,0,uM,ctrl,1.190196755
Org38,2,right,E14,E,14,11218,Paclitaxel,20,uM,ctrl,1.106366192
Org38,2,right,E15,E,15,11348,Paclitaxel,10,uM,ctrl,1.119187337
Org38,2,right,E16,E,16,10597,Paclitaxel,7.5,uM,ctrl,1.045120568
Org38,2,right,E17,E,17,10006,Paclitaxel,5,uM,ctrl,0.98683367
Org38,2,right,E18,E,18,9520,Paclitaxel,2,uM,ctrl,0.938902313
Org38,2,right,E19,E,19,8935,Paclitaxel,1,uM,ctrl,0.88120716
Org38,2,right,E20,E,20,9038,Paclitaxel,0.75,uM,ctrl,0.891365452
Org38,2,right,E21,E,21,8764,Paclitaxel,0.5,uM,ctrl,0.864342423
Org38,2,right,E22,E,22,9429,Paclitaxel,0.2,uM,ctrl,0.929927511
Org38,2,right,E23,E,23,8490,Paclitaxel,0.1,uM,ctrl,0.837319394
Org38,2,left,F2,F,2,10690,DMSO,0,uM,ctrl,0.805667559
Org38,2,left,F3,F,3,8868,Oxaliplatin,20,uM,Sample,0.668349851
Org38,2,left,F4,F,4,11346,Oxaliplatin,10,uM,Sample,0.855107962
Org38,2,left,F5,F,5,12032,Oxaliplatin,7.5,uM,Sample,0.906809361
Org38,2,left,F6,F,6,11649,Oxaliplatin,5,uM,Sample,0.877944003
Org38,2,left,F7,F,7,13413,Oxaliplatin,2,uM,Sample,1.010890455
Org38,2,left,F8,F,8,12723,Oxaliplatin,1,uM,Sample,0.958887591
Org38,2,left,F9,F,9,13801,Oxaliplatin,0.75,uM,Sample,1.040132645
Org38,2,left,F10,F,10,14536,Oxaliplatin,0.5,uM,Sample,1.095527
Org38,2,left,F11,F,11,14272,Oxaliplatin,0.2,uM,Sample,1.075630252
Org38,2,left,F12,F,12,14003,Oxaliplatin,0.1,uM,Sample,1.055356672
Org38,2,right,F13,F,13,10837,DMSO,0,uM,ctrl,1.068790374
Org38,2,right,F14,F,14,1650,Topotecan,20,uM,Sample,0.162729918
Org38,2,right,F15,F,15,896,Topotecan,10,uM,Sample,0.088367276
Org38,2,right,F16,F,16,1104,Topotecan,7.5,uM,Sample,0.108881109
Org38,2,right,F17,F,17,4264,Topotecan,5,uM,Sample,0.420533557
Org38,2,right,F18,F,18,10004,Topotecan,2,uM,Sample,0.986636422
Org38,2,right,F19,F,19,10655,Topotecan,1,uM,Sample,1.050840771
Org38,2,right,F20,F,20,10880,Topotecan,0.75,uM,Sample,1.073031215
Org38,2,right,F21,F,21,12016,Topotecan,0.5,uM,Sample,1.185068297
Org38,2,right,F22,F,22,12816,Topotecan,0.2,uM,Sample,1.263967651
Org38,2,right,F23,F,23,14196,Topotecan,0.1,uM,Sample,1.400069037
Org38,2,left,G2,G,2,15716,DMSO,0,uM,ctrl,1.184459434
Org38,2,left,G3,G,3,1119,Doxorubicin,20,uM,Sample,0.084335079
Org38,2,left,G4,G,4,2807,Doxorubicin,10,uM,Sample,0.21155368
Org38,2,left,G5,G,5,6457,Doxorubicin,7.5,uM,Sample,0.486641293
Org38,2,left,G6,G,6,9953,Doxorubicin,5,uM,Sample,0.750122471
Org38,2,left,G7,G,7,13206,Doxorubicin,2,uM,Sample,0.995289596
Org38,2,left,G8,G,8,13773,Doxorubicin,1,uM,Sample,1.038022384
Org38,2,left,G9,G,9,14163,Doxorubicin,0.75,uM,Sample,1.067415307
Org38,2,left,G10,G,10,13564,Doxorubicin,0.5,uM,Sample,1.022270792
Org38,2,left,G11,G,11,13249,Doxorubicin,0.2,uM,Sample,0.998530354
Org38,2,left,G12,G,12,14056,Doxorubicin,0.1,uM,Sample,1.059351095
Org38,2,right,G13,G,13,1710,DMSO,0,uM,ctrl,0.168647369
Org38,2,right,G14,G,14,172,Mitomycin C,20,uM,ctrl,0.016963361
Org38,2,right,G15,G,15,341,Mitomycin C,10,uM,ctrl,0.03363085
Org38,2,right,G16,G,16,256,Mitomycin C,7.5,uM,ctrl,0.025247793
Org38,2,right,G17,G,17,8886,Mitomycin C,5,uM,ctrl,0.876374575
Org38,2,right,G18,G,18,12232,Mitomycin C,2,uM,ctrl,1.206371123
Org38,2,right,G19,G,19,12462,Mitomycin C,1,uM,ctrl,1.229054687
Org38,2,right,G20,G,20,13240,Mitomycin C,0.75,uM,ctrl,1.305784309
Org38,2,right,G21,G,21,12590,Mitomycin C,0.5,uM,ctrl,1.241678584
Org38,2,right,G22,G,22,14145,Mitomycin C,0.2,uM,ctrl,1.395039203
Org38,2,right,G23,G,23,16877,Mitomycin C,0.1,uM,ctrl,1.664480497
Org38,2,left,H2,H,2,15926,Media,0,uM,ctrl,1.200286393
Org38,2,left,H3,H,3,9033,Gemcitabine,20,uM,Sample,0.680785319
Org38,2,left,H4,H,4,10195,Gemcitabine,10,uM,Sample,0.768361156
Org38,2,left,H5,H,5,12209,Gemcitabine,7.5,uM,Sample,0.920149226
Org38,2,left,H6,H,6,12402,Gemcitabine,5,uM,Sample,0.934694954
Org38,2,left,H7,H,7,12156,Gemcitabine,2,uM,Sample,0.916154803
Org38,2,left,H8,H,8,10377,Gemcitabine,1,uM,Sample,0.782077854
Org38,2,left,H9,H,9,11635,Gemcitabine,0.75,uM,Sample,0.876888872
Org38,2,left,H10,H,10,11592,Gemcitabine,0.5,uM,Sample,0.873648114
Org38,2,left,H11,H,11,10116,Gemcitabine,0.2,uM,Sample,0.762407205
Org38,2,left,H12,H,12,1433,Gemcitabine,0.1,uM,Sample,0.108000151
Org38,2,right,H13,H,13,455,Media,0,uM,ctrl,0.044874008
Org38,2,right,H14,H,14,26,Cetuximab,5,uM,Sample,0.002564229
Org38,2,right,H15,H,15,32,Cetuximab,2,uM,Sample,0.003155974
Org38,2,right,H16,H,16,80,Cetuximab,1,uM,Sample,0.007889935
Org38,2,right,H17,H,17,163,Cetuximab,0.75,uM,Sample,0.016075743
Org38,2,right,H18,H,18,1056,Cetuximab,0.5,uM,Sample,0.104147147
Org38,2,right,H19,H,19,4561,Cetuximab,0.2,uM,Sample,0.449824942
Org38,2,right,H20,H,20,9508,Cetuximab,0.1,uM,Sample,0.937718822
Org38,2,right,H21,H,21,10488,Cetuximab,0.1,uM,Sample,1.034370531
Org38,2,right,H22,H,22,12057,Cetuximab,0,uM,Sample,1.189111889
Org38,2,right,H23,H,23,13088,Cetuximab,0,uM,Sample,1.290793432
Org38,2,left,I2,I,2,11563,DMSO,0,uM,ctrl,0.871462486
Org38,2,left,I3,I,3,740,Staurosporine,20,uM,ctrl,0.055771187
Org38,2,left,I4,I,4,1014,Staurosporine,10,uM,ctrl,0.0764216
Org38,2,left,I5,I,5,972,Staurosporine,7.5,uM,ctrl,0.073256208
Org38,2,left,I6,I,6,1257,Staurosporine,5,uM,ctrl,0.094735652
Org38,2,left,I7,I,7,1494,Staurosporine,2,uM,ctrl,0.112597505
Org38,2,left,I8,I,8,1110,Staurosporine,1,uM,ctrl,0.083656781
Org38,2,left,I9,I,9,896,Staurosporine,0.75,uM,ctrl,0.067528357
Org38,2,left,I10,I,10,480,Staurosporine,0.5,uM,ctrl,0.036175905
Org38,2,left,I11,I,11,1160,Staurosporine,0.2,uM,ctrl,0.087425105
Org38,2,left,I12,I,12,1842,Staurosporine,0.1,uM,ctrl,0.138825037
Org38,2,right,I13,I,13,190,DMSO,0,uM,ctrl,0.018738597
Org38,2,right,I14,I,14,262,Carboplatin,20,uM,ctrl,0.025839538
Org38,2,right,I15,I,15,2277,Carboplatin,10,uM,ctrl,0.224567286
Org38,2,right,I16,I,16,8247,Carboplatin,7.5,uM,ctrl,0.813353716
Org38,2,right,I17,I,17,12443,Carboplatin,5,uM,ctrl,1.227180827
Org38,2,right,I18,I,18,12145,Carboplatin,2,uM,ctrl,1.197790818
Org38,2,right,I19,I,19,13947,Carboplatin,1,uM,ctrl,1.375511613
Org38,2,right,I20,I,20,13055,Carboplatin,0.75,uM,ctrl,1.287538833
Org38,2,right,I21,I,21,13470,Carboplatin,0.5,uM,ctrl,1.328467873
Org38,2,right,I22,I,22,14273,Carboplatin,0.2,uM,ctrl,1.4076631
Org38,2,right,I23,I,23,18657,Carboplatin,0.1,uM,ctrl,1.84003156
Org38,2,left,J2,J,2,16481,DMSO,0,uM,ctrl,1.242114783
Org38,2,left,J3,J,3,17592,5-Fluouracil,20,uM,Sample,1.325846931
Org38,2,left,J4,J,4,15498,5-Fluouracil,10,uM,Sample,1.168029544
Org38,2,left,J5,J,5,16604,5-Fluouracil,7.5,uM,Sample,1.251384859
Org38,2,left,J6,J,6,16329,5-Fluouracil,5,uM,Sample,1.23065908
Org38,2,left,J7,J,7,15706,5-Fluouracil,2,uM,Sample,1.183705769
Org38,2,left,J8,J,8,15380,5-Fluouracil,1,uM,Sample,1.1591363
Org38,2,left,J9,J,9,15764,5-Fluouracil,0.75,uM,Sample,1.188077025
Org38,2,left,J10,J,10,14750,5-Fluouracil,0.5,uM,Sample,1.111655425
Org38,2,left,J11,J,11,14365,5-Fluouracil,0.2,uM,Sample,1.082639334
Org38,2,left,J12,J,12,13603,5-Fluouracil,0.1,uM,Sample,1.025210084
Org38,2,right,J13,J,13,8103,DMSO,0,uM,ctrl,0.799151832
Org38,2,right,J14,J,14,11128,Docetaxel,20,uM,Sample,1.097490014
Org38,2,right,J15,J,15,9509,Docetaxel,10,uM,Sample,0.937817447
Org38,2,right,J16,J,16,11309,Docetaxel,7.5,uM,Sample,1.115340993
Org38,2,right,J17,J,17,10882,Docetaxel,5,uM,Sample,1.073228463
Org38,2,right,J18,J,18,9785,Docetaxel,2,uM,Sample,0.965037724
Org38,2,right,J19,J,19,9224,Docetaxel,1,uM,Sample,0.909709552
Org38,2,right,J20,J,20,8650,Docetaxel,0.75,uM,Sample,0.853099265
Org38,2,right,J21,J,21,8644,Docetaxel,0.5,uM,Sample,0.85250752
Org38,2,right,J22,J,22,8795,Docetaxel,0.2,uM,Sample,0.867399773
Org38,2,right,J23,J,23,9188,Docetaxel,0.1,uM,Sample,0.906159081
Org38,2,left,K2,K,2,16078,Media,0,uM,ctrl,1.211742096
Org38,2,left,K3,K,3,15777,Leucovorin,20,uM,Sample,1.189056789
Org38,2,left,K4,K,4,15653,Leucovorin,10,uM,Sample,1.179711346
Org38,2,left,K5,K,5,16087,Leucovorin,7.5,uM,Sample,1.212420394
Org38,2,left,K6,K,6,15145,Leucovorin,5,uM,Sample,1.14142518
Org38,2,left,K7,K,7,15488,Leucovorin,2,uM,Sample,1.167275879
Org38,2,left,K8,K,8,15411,Leucovorin,1,uM,Sample,1.161472661
Org38,2,left,K9,K,9,14927,Leucovorin,0.75,uM,Sample,1.12499529
Org38,2,left,K10,K,10,14113,Leucovorin,0.5,uM,Sample,1.063646983
Org38,2,left,K11,K,11,14070,Leucovorin,0.2,uM,Sample,1.060406225
Org38,2,left,K12,K,12,14374,Leucovorin,0.1,uM,Sample,1.083317632
Org38,2,right,K13,K,13,12176,Media,0,uM,ctrl,1.200848168
Org38,2,right,K14,K,14,1955,Cisplatin,20,uM,Sample,0.192810296
